"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","250011","1883/09/07","23 h 30 min","5","I","JURA (SANCEY-LE-GRAND)","FRANCHE-COMTE",""
"","650189","1883/12/30","4 h 30 min","5","I","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",""
"","590011","1883/12/30","6 h 45 min","4.5","I","DOUAISIS (DOUAI)","FLANDRE-ARTOIS",""
"","440081","1884/02/04","","5","C","PAYS NANTAIS (SAVENAY)","PAYS NANTAIS ET VENDEEN",""
"","1150125","1884/02/18","1 h 20 min","3.5","C","ESSEX (PELDON-WEST MERSEA)","GRANDE-BRETAGNE",""
"","680053","1884/03/26","3 h 30 min","4.5","I","PLAINE DE HAUTE-ALSACE (BLODELSHEIM)","ALSACE",""
"","680054","1884/04/14","23 h 35 min","4","B","PLAINE DE HAUTE-ALSACE (GUEBWILLER)","ALSACE",""
"","650192","1884/04/20","3 h 22 min","4","C","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",""
"","1150007","1884/04/22","9 h 20 min","7.5","B","ESSEX (COLCHESTER-PELDON)","GRANDE-BRETAGNE",""
"","1130411","1884/06/05","15 h 55 min","4","I","RIVIERA DI PONENTE (ALASSIO)","ITALIE",""
"","1110051","1884/06/24","19 h 30 min","4.5","A","VALLEE DU RHIN (KAISERSTUHL)","ALLEMAGNE",""
"","1150018","1884/08/26","2 h 13 min","4","C","JERSEY-GUERNSEY","ILES ANGLO-NORMANDES",""
"","350048","1884/08/28","14 h 45 min","4","C","PATS MALOUIN (LANHELIN)","BRETAGNE",""
"","50019","1884/11/23","16 h 15 min","5","C","QUEYRAS (GUILLESTRE)","ALPES DAUPHINOISES","PRECURSEUR"
"","50025","1884/11/27","22 h 57 min","7","A","QUEYRAS (GUILLESTRE)","ALPES DAUPHINOISES",""
"","1130040","1885/01/24","21 h","5.5","C","RIVIERA DI PONENTE (IMPERIA)","ITALIE",""
"","140020","1885/02/01","16 h 35 min","5.5","B","PLAINE DE CAEN (CHEUX)","NORMANDIE","GROUPE DE SECOUSSES D UN ESSAIM"
"","170062","1885/02/06","18 h 30 min","5","B","SAINTONGE (S. ST-JEAN-D'ANGELY)","CHARENTES",""
"","1130415","1885/03/02","0 h 25 min","4","I","PIEMONT (VALDIERI)","ITALIE",""
"","650193","1885/03/23","23 h 30 min","3.5","E","BIGORRE (LOURDES)","PYRENEES CENTRALES",""
"","490052","1885/04/05","5 h","5","E","BOCAGE VENDEEN (BRESSUIRE ?)","POITOU",""
"","1120246","1885/04/13","11 h 26 min","7","B","OBERLAND (ZWEISIMMEN)","SUISSE",""
"","1130041","1885/05/02","2 h 50 min","4","C","MEDITERRANEE (S. MONACO)","ALPES MARITIMES",""
"","830004","1885/05/04","7 h 5 min","5","C","BASSE-PROVENCE (LES ARCS)","PROVENCE",""
"","1130545","1885/07/01","7 h 13 min","5.5","C","PIEMONT (CUNEO)","ITALIE",""
"","450005","1885/08/16","19 h 23 min","5","C","BEAUCE (BRICY)","ORLEANAIS-BLESOIS-PAYS CHARTRAIN",""
"","1130417","1885/08/16","4 h 32 min","3.5","I","PIEMONT (VALDIERI)","ITALIE",""
"","630103","1885/11/10","14 h 6 min","5","C","COMBRAILLE (LAQUEUILLE)","AUVERGNE",""
"","880022","1885/11/10","19 h","4.5","C","PLAINE LORRAINE (CONTREXEVILLE)","VOSGES",""
"","1110192","1886/01/03","2 h 40 min","5","B","VALLEE DU RHIN (KAISERSTUHL)","ALLEMAGNE",""
"","1150097","1886/01/22","7 h","5","B","CORNWALL","GRANDE-BRETAGNE",""
"","670066","1886/02/22","12 h 20 min","4","B","VOSGES ALSACIENNES (CHAMP-DU-FEU)","ALSACE",""
"","850015","1886/05/11","18 h 45 min","4.5","C","BOCAGE VENDEEN (ST-PHILBERT-DE-BOUAINE)","PAYS NANTAIS ET VENDEEN",""
"","850016","1886/05/13","10 h","4","C","BOCAGE VENDEEN (LE POIRE-SUR-VIE)","PAYS NANTAIS ET VENDEEN",""
"","1110053","1886/06/07","21 h 50 min","5","B","VALLEE DU RHIN (OFFENBURG)","ALLEMAGNE",""
"","1150089","1886/06/07","11 h 25 min","4","I","GUERNSEY","ILES ANGLO-NORMANDES",""
"","860017","1886/06/08","8 h 40 min","4.5","C","PLAINES DU HAUT-POITOU (S. JAUNAY-CLAN)","POITOU",""
"","680055","1886/08/14","3 h","5.5","C","VOSGES ALSACIENNES (ORBEY)","ALSACE",""
"","1130128","1886/09/05","20 h 45 min","7","B","PIEMONT (COAZZE)","ITALIE",""
"","1110054","1886/10/09","18 h 10 min","6","B","VALLEE DU RHIN (OFFENBURG)","ALLEMAGNE",""
"","840059","1886/11/12","","6","B","BARONNIES (AUREL)","VAUCLUSE","GROUPE DE SECOUSSES D UN ESSAIM"
"","300019","1886/11/20","10 h","3","I","GARRIGUES (NIMES)","CEVENNES",""
"","340013","1887/01/15","3 h","4","C","LITTORAL LANGUEDOCIEN (CARNON)","LANGUEDOC",""
"","70008","1887/02/13","3 h","2.5","I","HAUT-VIVARAIS (PRIVAS)","CEVENNES",""
"","530007","1887/02/15","9 h 5 min","5.5","B","MAYENNAIS (ERNEE)","MAINE",""
"","1130045","1887/02/23","5 h 50 min","9","K","RIVIERA DI PONENTE (IMPERIA-BUSSANA)","ITALIE",""
"","1130047","1887/02/23","8 h 30 min","7","K","RIVIERA DI PONENTE (IMPERIA-BUSSANA)","ITALIE","REPLIQUE"
"","1130046","1887/02/23","6 h 10 min","6","E","RIVIERA DI PONENTE (IMPERIA-BUSSANA)","ITALIE","REPLIQUE"
"","1130049","1887/02/24","1 h 50 min","6.5","E","RIVIERA DI PONENTE (IMPERIA-BUSSANA)","ITALIE","REPLIQUE"
"","1130056","1887/03/11","14 h 45 min","7","E","RIVIERA DI PONENTE (IMPERIA-BUSSANA)","ITALIE","REPLIQUE"
"","1130558","1887/04/12","23 h 37 min","4","I","RIVIERA DI PONENTE (IMPERIA-BUSSANA)","ITALIE","REPLIQUE"
